Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Thomas Mawhinney,https://www.crunchbase.com/person/tom-mawhinney,50,14,"San Francisco, California, United States",Angel,"Tom Mawhinney joined Icon Ventures in 2003 as a General Partner, bringing a 15-year background in the technology industry as both a venture capitalist and an entrepreneur.  Tom has a wide range of technology investing experience and brings a passion for helping to scale young, rapidly growing companies. His venture investing capabilities were acknowledged when he was named to the AlwaysOn Venture Capital 100 Power Players in the Cloud and Entrepreneurial Power Player – West lists. Before joining Icon Ventures, Tom was with Canaan Partners, an early-stage venture capital firm with $2 billion under management. He first developed his skills as a technology investor and entrepreneur during the five years he spent with Summit Partners, a venture capital firm managing over $6 billion.  As an entrepreneur, Tom co-founded and spent five years as President and COO of North Systems, a venture-backed software company. At Icon, Tom is on the Board of or actively involved with Area 1",,,,http://www.linkedin.com/pub/thomas-mawhinney/9/9b5/122,23,21,,,,"10,487",0.0,0.0,-0.5
RBC Venture Partners,https://www.crunchbase.com/organization/rbc-venture-partners,49,16,"Toronto, Ontario, Canada",Venture Capital,RBC Venture Partners invests venture capital and growth equity on behalf of the Royal Bank of Canada.,http://www.rbc.com/vp,,,,33,15,,,,"3,942",-0.1,-0.3,2.1
Aurus,https://www.crunchbase.com/organization/aurus,49,1,"Lo Barnechea, Region Metropolitana, Chile",Venture Capital,"Aurus is a Chilean investment firm. It manages funds in Venture Capital, Real Estate and Capital Markets.",http://www.aurus.cl/AURUS,http://twitter.com/AurusVC,,,22,4,,,,"6,030",-0.4,-1.6,-2.0
DST Global,https://www.crunchbase.com/organization/digital-sky-technologies-fo,48,9,"Moscow, Moscow City, Russian Federation",Corporate Venture Capital,DST Global is a Moscow-based investment company that funds late-stage ventures in the global internet industry.,http://dst-global.com,,,,40,19,,,,479,0.3,0.9,-0.3
Citi Ventures,https://www.crunchbase.com/organization/citi-ventures,48,10,"Palo Alto, California, United States",Corporate Venture Capital,"Citi Ventures is Citi's global corporate venturing arm, chartered to collaborate with internal and external partners to conceive, partner,",http://ventures.citi.com,https://www.twitter.com/askciti,,,38,9,,,,"1,077",-0.4,-0.9,-1.5
Milestone Venture Partners,https://www.crunchbase.com/organization/milestone-venture-partners,48,10,"New York, New York, United States",Venture Capital,Milestone is an early stage venture capital fund with $108m under management which invests in software and data services businesses.,http://www.milestonevp.com,,,http://www.linkedin.com/company/119359,32,11,,,,"3,457",-0.2,-0.7,-2.2
FTV Capital,https://www.crunchbase.com/organization/ftv-capital,47,13,"San Francisco, California, United States",Private Equity Firm,"Growth equity firm focused on high growth companies in enterprise solutions, financial services, and payments/transaction processing.",http://www.ftvcapital.com,,,https://www.linkedin.com/company/ftv-capital,41,30,,,,"1,030",-0.3,-1.2,0.6
Jason Finger,https://www.crunchbase.com/person/jason-finger,47,4,"New York, New York, United States",Angel,"Jason Finger is a co-founder and was long-time CEO of SeamlessWeb, the business that made up the majority of GrubHub Seamless before the merger with GrubHub.   Subsequently, he was an Entrepreneur in Residence at Bessemer Venture Partners.  Jason serves as a Director and Advisor to several private companies and is an active angel investor in companies including ZocDoc, Klout, Betterment, Conductor, BlueApron, Clio, SkillShare, Zozi, Datalot, Magnetic, Omaze, Scratch Music, Yipit, Invision and StartupHealth.",,http://twitter.com/jasonfinger,http://www.facebook.com/jasonfinger,http://www.linkedin.com/pub/jason-finger/0/41/8a1,32,1,,,,"2,841",0.1,-0.7,-2.6
Jon Callaghan,https://www.crunchbase.com/person/jon-callaghan,46,9,"San Francisco, California, United States",Angel,"Jon is an early stage venture capitalist and a founder of True Ventures. Jon has founded three of his own companies and has been in the venture capital business since 1991.Jon founded his first company, Mountain Bike Outfitters, Inc in 1986.Jon started his venture career as an associate at Summit Partners and then joined AOL’s Greenhouse, the venture capital/incubator for AOL.  Jon joined the internet market early by joining CMGi’s @Ventures group in 1996. Before founding True, Jon was a Managing Director at Globespan Capital.First as founder and now as investor, Jon’s direct startup experience means that he has seen the world through an entrepreneur’s eyes, making him a confidant and therefore priceless resource for the startups in which he invests.Jon received a BA in Government from Dartmouth College and an MBA, with distinction, from Harvard Business School.When he is not empowering the entrepreneurs of tomorrow, you can probably find him talking about airplanes or playing with ",,http://twitter.com/jcal7,,http://www.linkedin.com/in/joncallaghan,22,11,,,,"3,751",-0.2,-0.1,-0.6
David Cowan,https://www.crunchbase.com/person/david-cowan,46,10,"Menlo Park, California, United States",Angel,"David Cowan is a partner in Bessemer's Menlo Park, Calif. office. He joined the firm in 1992. He has invested mostly in network technology, infrastructure SaaS, consumer Internet and data security.  His current portfolio includes CrowdFlower, Delivery Agent, LifeLock, LinkedIn, Nominum, ReputationDefender, Smule, Tripwire, and Zoosk. More than 20 of Cowan’s startup investments have become public companies. His historical portfolio includes: network-technology companies Ciena (IPO) and P-Com (IPO); Internet-infrastructure services such as PSI-Net (IPO), Keynote (IPO), Flycast (IPO), and Netli (acquired by Akamai); and consumer web sites Hotjobs (IPO), Blue Nile (IPO), and Playdom (acquired by Disney).  In 1995 Cowan co-founded VeriSign as a Bessemer-funded spinout of RSA and served as VeriSign's initial chairman; his other data-security exits have included Counterpane (acquired by BT), Cyota (acquired by RSA), ON (IPO), Postini (acquired by Google), Tumbleweed (IPO), Valicert (",,http://twitter.com/davidcowan,,http://www.linkedin.com/in/davidjcowan,22,13,,,,"4,326",0.5,0.1,-0.3
Origin Ventures,https://www.crunchbase.com/organization/origin-ventures,44,3,"Chicago, Illinois, United States",Venture Capital,"Origin Ventures is an early-stage venture capital firm in Chicago, IL. Origin is currently investing out of their third fund, focusing on",http://www.originventures.com,http://twitter.com/OriginVentures,,https://www.linkedin.com/company/3153121?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3153121%2Cidx%3A1-1-1%2CtarId%3A1440538115176%2Ctas%3AOrigin%20Ventures,26,18,,,,"1,200",-0.9,-1.2,-0.1
Almaz,https://www.crunchbase.com/organization/almaz-capital,43,4,"Portola Valley, California, United States",Venture Capital,Almaz Capital is an early stage venture capital firm investing in entrepreneurs and engineering talent in high-growth tech sectors.,http://www.almazcapital.com,http://twitter.com/almazcapital,http://www.facebook.com/simonova,http://www.linkedin.com/company/almaz-capital,33,17,,,,"1,074",-0.2,4.6,5.2
Walter Kortschak,https://www.crunchbase.com/person/walter-g-kortschak,43,10,"Palo Alto, California, United States",Angel,He founded Kortschak Investments in 2010 because He love helping entrepreneurs build enduring businesses. He like to think of Kortschak Investments as equal parts early stage venture capital fund and management advisory firm.,,http://twitter.com/wkortschak,,http://www.linkedin.com/pub/walter-kortschak/20/827/5a0,36,4,,,,"4,720",0.0,0.0,-0.5
Detroit Venture Partners,https://www.crunchbase.com/organization/detroit-venture-partners,42,3,"Detroit, Michigan, United States",Venture Capital,Detroit Venture Partners is an American venture capital firm that funds seed- and early-stage technology companies.,http://detroitventurepartners.com,http://twitter.com/DVPtweets,http://www.facebook.com/detroitventurepartners,http://www.linkedin.com/company/1465018,22,37,,,,"2,669",0.0,-0.2,-0.6
Openfund,https://www.crunchbase.com/organization/openfund,42,1,"Athens, Attiki, Greece",Micro VC,Openfund is a seed venture capital fund that targets software and web technology companies in Greece.,http://www.theopenfund.com,http://twitter.com/openfund,http://www.facebook.com/openfund,,29,4,,,,"3,454",0.1,0.6,2.9
Walter Winshall,https://www.crunchbase.com/person/walter-winshall,42,4,"Boston, Massachusetts, United States",Angel,"Walter A. Winshall serves as a Principal in Collaborative Seed and Growth Partners, LLC, an investment firm specializing in the commercialization of early-stage technology. Previously, he was a co-founder and Chairman of SilverPlatter International, NV, a company providing information services for libraries, which was acquired by the Dutch publishing company Wolters Kluwer in 2001. He serves as a member of the Board of Directors of AgaMatrix, Inc., HealthCare IT, Inc., and MOCA Systems, Inc. He graduated from MIT in electrical engineering and from the Harvard Law School. At AgaMatrix, Walt provides guidance in corporate development strategy.",,http://twitter.com/wwinshall,,https://www.linkedin.com/in/walterwinshall,35,,,,,"4,310",0.0,-0.6,-0.3
"Kortschak Investments, L.P.",https://www.crunchbase.com/organization/kortschak-investments-l-p,41,8,"Menlo Park, California, United States",Venture Capital,"Early stage VC focusing on data-driven companies in the new media, gaming, SaaS, cloud, new finance, IOT, security and mobile sectors.",http://www.kortschak.com,http://twitter.com/WKortschak,,http://www.linkedin.com/pub/walter-kortschak/20/827/5a0,34,4,,,,"4,708",0.2,-0.1,-0.6
Tekes,https://www.crunchbase.com/organization/tekes,40,2,"Helsinki, Southern Finland, Finland",Venture Capital,"Tekes is a Finnish funding agency specialized in research communities, industry, and service sectors.",http://www.tekes.fi/en/community/Home/351/Home/473,http://twitter.com/Tekesfi,,,32,4,,,,"2,377",3.3,3.4,5.4
Third Point Ventures,https://www.crunchbase.com/organization/third-point-ventures,40,8,"New York, New York, United States",Hedge Fund,"Third Point Ventures is the venture capital arm of Third Point LLC, a registered investment adviser based in New York, with approximately",http://thirdpoint.com,,,https://www.linkedin.com/company/71879,33,22,,,,"2,827",0.1,-0.4,-1.2
MentorTech Ventures,https://www.crunchbase.com/organization/mentortech-ventures,40,6,"Philadelphia, Pennsylvania, United States",Venture Capital,MentorTech Ventures is a seed- and early-stage venture capital fund that invests in companies from the University of Pennsylvania ecosystem.,http://www.mentortechventures.com,http://twitter.com/MentorTechVC,,,24,7,,,,"4,944",0.3,-0.3,-1.5
Chris DeVore,https://www.crunchbase.com/person/chris-devore,40,11,"Seattle, Washington, United States",Angel,"Chris DeVore has been an investor, operator and executive at both public and private companies.Prior to Founders Co-op, Chris co-founded of Judy's Book and served as the company's COO and member of the board of directors.  Previously Chris was a Vice President at Sapient Corporation (NASDAQ: SAPE), where he built and led the company's strategy consulting practice and was also a core member of the M&A and corporate venturing teams. Chris arrived at Sapient via the 1999 acquisition of Adjacency, an e-Commerce consultancy he and his partners bootstrapped into a profitable, 50-person, $15MM revenues firm serving clients like Apple, Nordstrom, Virgin, Land Rover and Steelcase.  Prior to Adjacency, Chris served as Patagonia's Director of eCommerce, building  that outdoor retailer's first online retail presence, and also led and managed six of the company's product lines. Pre-Internet, Chris held senior product management and strategic planning roles at McCaw Cellular (acquired by AT&T",,http://twitter.com/crashdev,http://www.facebook.com/chris.devore,http://www.linkedin.com/in/devore,31,3,,,,"5,220",-0.2,-0.6,0.8
Bill Gurley,https://www.crunchbase.com/person/bill-gurley,39,8,"San Francisco, California, United States",Angel,"Bill Gurley has spent over 10 years as a general partner at Benchmark, a Silicon Valley venture capital firm in Menlo Park, California. His current investments and board seats include Brighter, DogVacay, GrubHub, Linden Lab / secondlife, Nextdoor, OpenTable, Sailthru, Scale Computing, Stitch Fix, Uber, and Zillow. Before entering the venture capital business, Bill spent four years on Wall Street as a top-ranked research analyst, including three years at CS First Boston focusing on personal computer hardware and software. His research coverage included companies such as Dell, Compaq, and Microsoft. In both 1995 and 1996, Bill was a member of the Institutional Investor All-American Research Team. Prior to his investment career, Bill was a design engineer at Compaq Computer, where he worked on products such as the 486/50 and Compaq's first multi-processor server. Before Compaq, he served in the technical marketing group of Advanced Micro Devices' embedded processor div",,http://twitter.com/bgurley,,http://www.linkedin.com/in/billgurley,17,17,,,,"1,057",-0.1,-0.6,-1.3
